ALLA0210127,IDIB000A524,282010002,282019020
ALLA0210126,IDIB000A523,282010003,282019010
ALLA0210128,IDIB000A525,282010007,282019011
ALLA0213113,IDIB000D547,282010014,282019012
ALLA0210456,IDIB000A527,282010004,282019017
ALLA0212072,IDIB000K677,282010008,282019019
ALLA0210129,IDIB000A528,282010005,282019024
ALLA0213287,IDIB000A540,202010505,202019010
ALLA0210133,IDIB000A566,202010002,202019012
ALLA0211254,IDIB000A564,202010004,202019013
ALLA0210134,IDIB000A565,202010003,202019014
ALLA0210525,IDIB000A567,202010005,202019015
ALLA0210125,IDIB000A677,206010202,206019005
ALLA0212771,IDIB000B560,202010504,202019017
ALLA0212963,IDIB000B766,206010102,206019011
ALLA0210122,IDIB000B893,209010003,209019007
ALLA0212436,IDIB000C501,206010503,206019013
ALLA0212537,IDIB000D563,282010011,282019013
ALLA0210761,IDIB000D587,204010501,204019007
ALLA0210457,IDIB000E511,207010102,207019107
ALLA0210124,IDIB000E513,206010002,206019014
ALLA0212126,IDIB000E514,206010003,206019015
ALLA0213018,IDIB000A522,282010504,282019014
ALLA0210241,IDIB000F508,209010002,209019008
ALLA0213112,IDIB000F511,282010506,282019015
ALLA0210131,IDIB000F520,283010102,283019108
ALLA0212302,IDIB000G511,206010251,206019006
ALLA0210135,IDIB000H556,204010002,204019008
ALLA0210760,IDIB000H582,282010501,282019025
ALLA0212301,IDIB000A526,282010010,282019016
ALLA0212770,IDIB000I508,202010503,202019018
ALLA0213086,IDIB000J584,205010103,283019107
ALLA0212539,IDIB000K531,282010503,282019026
ALLA0212837,IDIB000K537,282010013,282019018
ALLA0213102,IDIB000K599,206010505,205019003
ALLA0211977,IDIB000K796,281010202,281019012
ALLA0210446,IDIB000M568,205010002,205019004
ALLA0210132,IDIB000M660,281010002,281019013
ALLA0212961,IDIB000K811,281010003,281019011
ALLA0213471,IDIB000N552,202010506,202019011
ALLA0211959,IDIB000N582,282010006,282019027
ALLA0212498,IDIB000P501,204010004,204019009
ALLA0212230,IDIB000P606,281010501,281019014
ALLA0211504,IDIB000R519,202010502,202019019
ALLA0212836,IDIB000R550,282010012,282019021
ALLA0210644,IDIB000R556,281010102,281019015
ALLA0213472,IDIB000R619,206010103,206019012
ALLA0212538,IDIB000R670,282010502,282019028
ALLA0212166,IDIB000S505,283010103,283019109
ALLA0212101,IDIB000S533,206010502,206019016
ALLA0211374,IDIB000T507,206010501,206019017
ALLA0210513,IDIB000S645,205010102,205019103
ALLA0212964,IDIB000S649,282010505,282019022
ALLA0212772,IDIB000S743,204010003,204019010
ALLA0212864,IDIB000S809,202010006,202019016
ALLA0210454,IDIB000T519,202010501,202019020
ALLA0210560,IDIB000T615,283010501,282019029
ALLA0212300,IDIB000U532,282010009,282019023
ALLA0212263,IDIB000A536,380010014,380019041
ALLA0211820,IDIB000A537,380010008,380019035
ALLA0212766,IDIB000S637,380010019,380019046
ALLA0212248,IDIB000A538,380010013,380019040
ALLA0212379,IDIB000A615,365010001,365019002
ALLA0210320,IDIB000A666,380010003,380019030
ALLA0212308,IDIB000B631,380010015,380019042
ALLA0212406,IDIB000B775,364010002,364019002
ALLA0212749,IDIB000B857,380010018,380019045
ALLA0212906,IDIB000C539,380010020,380019047
ALLA0212255,IDIB000D553,384010001,384019002
ALLA0212373,IDIB000G519,370010001,370019002
ALLA0210377,IDIB000G522,380010010,380019037
ALLA0212113,IDIB000G523,380010011,380019038
ALLA0212753,IDIB000H572,383010001,383019002
ALLA0211886,IDIB000G571,361010001,361019002
ALLA0212247,IDIB000B804,370010051,370019053
ALLA0211894,IDIB000J631,362010001,362019002
ALLA0210716,IDIB000L523,380010004,380019031
ALLA0212750,IDIB000M513,370010501,370019501
ALLA0213115,IDIB000M699,384010002,384019003
ALLA0212489,IDIB000M615,380010016,380019043
ALLA0210181,IDIB000M652,380010002,380019029
ALLA0212501,IDIB000M747,363010021,363019023
ALLA0210470,IDIB000N543,380010005,380019032
ALLA0210471,IDIB000N549,380010007,380019034
ALLA0212905,IDIB000N588,380010021,380019048
ALLA0212121,IDIB000O505,380010012,380019039
ALLA0212374,IDIB000P531,385010001,385019002
ALLA0213116,IDIB000P588,384010081,384019082
ALLA0212765,IDIB000P667,360010121,360019122
ALLA0211058,IDIB000R541,360010002,360019006
ALLA0212432,IDIB000R637,360010003,360019007
ALLA0211156,IDIB000R603,380010006,380019033
ALLA0212599,IDIB000S562,380010017,380019044
ALLA0212907,IDIB000R542,360010004,360019008
